catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,column,kind,old_url,new_url,source,source_title,source_page,source_sku,confidence,downloaded,content_type,bytes,error,db_rows_updated
2477287,Robotech,Robotech,Harmony Gold Robotech,1992,Robotech Defense Force,Lynn Minmei,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_LynnMinmei-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171756_1_1.jpg,Collector Archive,1992 Harmony Gold Robotech Carded Action Figure - Lynn Minmei,https://collectorarchive.com/rbt004,RBT004,exact-normalized-title+slot,True,image/jpeg,12505,,1
2477288,Robotech,Robotech,Harmony Gold Robotech,1992,Robotech Defense Force,Max Sterling,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_MaxSterlingWhite-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171713_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Max Sterling,https://collectorarchive.com/rbt007,RBT007,exact-normalized-title+slot,True,image/jpeg,12445,,1
2477289,Robotech,Robotech,Harmony Gold Robotech,1992,Robotech Defense Force,Miriya,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_MiriyaPurple-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20232916_1_1.jpg,Collector Archive,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Miriya,https://collectorarchive.com/rbt041,RBT041,exact-normalized-title+slot,True,image/jpeg,13009,,1
2477290,Robotech,Robotech,Harmony Gold Robotech,1992,Robotech Defense Force,Rand,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_Rand-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20228687_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Rand,https://collectorarchive.com/rbt009,RBT009,exact-normalized-title+slot,True,image/jpeg,13129,,1
2477292,Robotech,Robotech,Harmony Gold Robotech,1992,Robotech Defense Force,Rook Bartley,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_RookBartley-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10212264_1_1.jpg,Collector Archive,1992 Harmony Gold Robotech Carded Action Figure - Rook Bartley,https://collectorarchive.com/rbt039,RBT039,exact-normalized-title+slot,True,image/jpeg,12336,,1
2477296,Robotech,Robotech,Harmony Gold Robotech,1992,Robotech Masters Enemy,Robotech Master,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_RobotechMaster-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171771_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Robotech Master,https://collectorarchive.com/rbt014,RBT014,exact-normalized-title+slot,True,image/jpeg,12200,,1
2477302,Robotech,Robotech,Vintage Robotech,1986,"12"" Scale",Lynn Minmei,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_LynnMinmei-12-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171756_1_1.jpg,Collector Archive,1992 Harmony Gold Robotech Carded Action Figure - Lynn Minmei,https://collectorarchive.com/rbt004,RBT004,exact-normalized-title+slot,True,image/jpeg,12505,,1
2477304,Robotech,Robotech,Vintage Robotech,1986,"6"" Scale",Armoured Zentraedi Warrior,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_ZentraediWarrior-8-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20232559_1_1.jpg,Collector Archive,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Armoured Zentraedi Warrior,https://collectorarchive.com/rbt044,RBT044,exact-normalized-title+slot,True,image/jpeg,12079,,1
2477305,Robotech,Robotech,Vintage Robotech,1986,"6"" Scale",Breetai,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_Breetai-6-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20250738_1_1.jpg,Collector Archive,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Breetai,https://collectorarchive.com/rbt045,RBT045,exact-normalized-title+slot,True,image/jpeg,11918,,1
2477306,Robotech,Robotech,Vintage Robotech,1986,"6"" Scale",Dolza,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_Dolza-8-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171780_1_1.jpg,Collector Archive,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Dolza,https://collectorarchive.com/rbt017,RBT017,exact-normalized-title+slot,True,image/jpeg,10651,,1
2477307,Robotech,Robotech,Vintage Robotech,1986,"6"" Scale",Exedore,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_Exedore-6-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20232918_1_1.jpg,Collector Archive,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Exedore,https://collectorarchive.com/rbt043,RBT043,exact-normalized-title+slot,True,image/jpeg,12630,,1
2477308,Robotech,Robotech,Vintage Robotech,1986,"6"" Scale",Khyron,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_Khyron-6-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20250737_1_1.jpg,Collector Archive,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Khyron,https://collectorarchive.com/rbt042,RBT042,exact-normalized-title+slot,True,image/jpeg,11324,,1
2477309,Robotech,Robotech,Vintage Robotech,1986,"6"" Scale",Miriya,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_Miriya-6-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20232916_1_1.jpg,Collector Archive,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Miriya,https://collectorarchive.com/rbt041,RBT041,exact-normalized-title+slot,True,image/jpeg,13009,,1
2477325,Robotech,Robotech,Vintage Robotech,1986,Accessories,Tactical Battle Pod,image_url,loose,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_TacticalBattlePod.jpg,https://collectorarchive.com/pub/media/catalog/product/placeholder/default/logo_coming_soon.jpg,Collector Archive,1986 Matchbox Robotech Loose Vehicle - Tactical Battle Pod,https://collectorarchive.com/rbt049,RBT049,exact-normalized-title+slot,True,image/jpeg,32029,,1
2477331,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Corg,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_Corg-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171770_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Corg,https://collectorarchive.com/rbt011,RBT011,exact-normalized-title+slot,True,image/jpeg,12209,,1
2477335,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Max Sterling,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_MaxSterling-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171713_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Max Sterling,https://collectorarchive.com/rbt007,RBT007,exact-normalized-title+slot,True,image/jpeg,12445,,1
2477337,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Miriya (Black),packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_MiriyaBlack-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10165834_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Miriya (Black),https://collectorarchive.com/rbt001,RBT001,exact-normalized-title+slot,True,image/jpeg,13409,,1
2477338,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Miriya (Red),packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_MiriyaRed-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171755_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Miriya (Red),https://collectorarchive.com/rbt005,RBT005,exact-normalized-title+slot,True,image/jpeg,12730,,1
2477339,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Rand,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_Rand-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20228687_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Rand,https://collectorarchive.com/rbt009,RBT009,exact-normalized-title+slot,True,image/jpeg,13129,,1
2477341,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Robotech Master,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_RobotechMaster-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171771_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Robotech Master,https://collectorarchive.com/rbt014,RBT014,exact-normalized-title+slot,True,image/jpeg,12200,,1
2477342,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Rook Bartley,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_RookBartley-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10212264_1_1.jpg,Collector Archive,1992 Harmony Gold Robotech Carded Action Figure - Rook Bartley,https://collectorarchive.com/rbt039,RBT039,exact-normalized-title+slot,True,image/jpeg,12336,,1
2477425,Robotech,Robotech Alpha,Robotech Alpha,1985,Basic Series,Rook Bartley,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechalpha/thumb_Alpha-Red-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10212264_1_1.jpg,Collector Archive,1992 Harmony Gold Robotech Carded Action Figure - Rook Bartley,https://collectorarchive.com/rbt039,RBT039,exact-normalized-title+slot,True,image/jpeg,12336,,1
2518205,Robotech,Genesis Climber MOSPEADA,Excite Robotech Alpha,1985,Basic Series,Rook Bartley,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechalpha/thumb_Alpha-Red-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10212264_1_1.jpg,Collector Archive,1992 Harmony Gold Robotech Carded Action Figure - Rook Bartley,https://collectorarchive.com/rbt039,RBT039,exact-normalized-title+slot,True,image/jpeg,12336,,1
